# EvtID pe_px[MeV/c] pe_py[MeV/c] pe_pz[MeV/c] prec_px[MeV/c] prec_py[MeV/c] prec_pz[MeV/c] pidrec zvtx[cm] weight
41881 2.0994033970e+02 -1.0348972744e+03 4.3927324691e+03 2.8462223882e+02 4.4583278786e+01 -3.9094264246e+02 2212 -3.3933370148e+00 3.7608916441e-02
42253 1.9534827645e+02 -1.0158261378e+03 4.4919524608e+03 1.7759026195e+02 6.3618060288e+01 -4.0254704672e+02 2212 -3.0619725417e+00 1.1610567982e-01
42755 -1.1179942456e+01 -1.0170554583e+03 3.8513650070e+03 8.2384771299e+01 7.7254086033e+00 -4.3675070482e+02 2212 -1.0650536029e+00 2.5355448573e-02
43054 -2.7200859723e+02 -1.0376161557e+03 4.4754770481e+03 1.6678309180e+02 -4.6178272606e+01 -4.4348537089e+02 2212 -2.0622255113e+00 8.0582046601e-03
43224 -1.5587566091e+02 -1.1161835369e+03 4.3050389920e+03 2.5279084957e+02 9.1530408900e+01 -1.1448309480e+02 2212 -5.3703015782e+00 6.8444732059e+00
43612 2.7453987831e+01 -1.1309138909e+03 4.8307934372e+03 4.7854990294e+02 2.4520829639e+01 -2.6985096932e+02 2212 -4.3180650014e+00 1.1577491905e-01
43996 -1.0090083761e+02 -1.0584815431e+03 4.6114437971e+03 4.1571215799e+02 -1.5859203260e+01 -2.6981341931e+02 2212 -6.2004662072e-01 2.9755870815e-01
44372 -2.0215635003e+02 -9.2979701571e+02 4.1471577031e+03 5.1369481930e+02 2.7727656482e+00 -6.0338251806e+01 2212 -3.4134219291e+00 2.3333729355e+00
44644 1.9191120905e+02 -1.1030087060e+03 4.7544839720e+03 9.3895892381e+01 1.2364018641e+01 -4.2065471793e+02 2212 -3.9776070120e+00 4.6550329832e-02
45148 -9.6490499499e+01 -8.6955428344e+02 3.8994248862e+03 3.6036920742e+02 -1.0366412720e+02 -3.1379507875e+02 2212 -4.8469758611e+00 3.4891630036e-01
45413 2.8295698763e+02 -1.0466645397e+03 4.7238739387e+03 3.2074854306e+02 -9.7466179687e+00 -2.1672121891e+02 2212 -4.8233410805e+00 1.3715360077e+00
45427 1.6620865788e+02 -1.1712885539e+03 4.5780965527e+03 3.4558870831e+02 3.0837840531e+01 -3.7379932109e+02 2212 -4.1983951391e+00 1.1100630005e-02
45543 1.9822427496e+02 -1.0530714871e+03 4.3468433723e+03 5.2723868667e+02 8.7650964092e-01 -3.5383998763e+01 2212 -6.6951391124e-01 1.3902190677e+00
46456 2.7243091015e+00 -1.0793042725e+03 4.5521452405e+03 5.2613892568e+02 -1.3118490026e+02 -1.9104984380e+02 2212 -1.8526777399e+00 1.9482169814e-01
46598 1.7460917308e+02 -1.0177185061e+03 4.1569900915e+03 5.6144274564e+02 -1.1353602514e+02 -1.6750846503e+02 2212 -5.0671885693e+00 1.9268468494e-01
46843 1.1207810323e+02 -1.0750757749e+03 4.2012793671e+03 1.3705635133e+02 1.4019221602e+01 -4.0977169999e+02 2212 -6.7593486933e-01 4.9657614813e-02
47073 -2.7152731616e+02 -1.1956291203e+03 4.9190092608e+03 4.0940016202e+02 -3.4996931324e+01 -2.7210704274e+02 2212 -3.3000393615e+00 1.5297740525e-01
47123 -1.0384420635e+01 -1.0403966651e+03 4.0167159092e+03 6.0807559209e+02 -9.0977160599e+01 -1.0812694506e+01 2212 -3.5081029388e+00 7.3028649544e-01
47196 -2.0378861076e+02 -9.5160754726e+02 3.8854210376e+03 5.3871959116e+02 1.5919934973e+02 -2.0264013441e+02 2212 -1.5391976428e+00 2.7070741953e-01
47320 2.1734931551e+02 -1.1028021881e+03 4.2888876587e+03 2.9237403169e+02 5.3223475433e+01 -3.7418363062e+02 2212 -2.0833556768e+00 3.2938462903e-02
47553 -2.7071753614e+02 -1.1221481118e+03 4.6699126352e+03 2.7851983815e+02 -2.9681820472e+00 -4.0671298010e+02 2212 -4.8810798856e+00 1.3989552896e-02
47999 8.7293379016e+01 -1.0139564467e+03 4.7002962361e+03 3.0154856922e+02 -9.3330060237e+01 -3.4292186596e+02 2212 -2.4345369725e+00 1.7765965367e-01
48263 7.6274099219e+01 -9.2015099974e+02 4.1215103453e+03 2.5239852848e+02 -4.2229013369e+01 -3.9247120158e+02 2212 -2.6586403507e+00 9.5624454326e-02
48745 1.7249312371e+02 -1.0269459427e+03 4.2291408632e+03 4.0158917423e+02 -1.2080657164e+02 -2.2173472234e+02 2212 -1.9228659030e+00 4.8064733422e-01
48888 1.1983977962e+02 -1.0784548345e+03 4.5349802378e+03 4.8341713164e+01 -1.5440936197e+01 -4.6196059718e+02 2212 -2.9568832153e+00 3.5050143748e-03
49182 -1.3277892687e+02 -1.0184030943e+03 3.9220119944e+03 1.7702416440e+02 -1.0743930750e+01 -2.5874018644e+02 2212 -1.6961961957e+00 1.9927694046e+00
49282 -1.1321302997e+02 -1.1672777315e+03 4.8764545360e+03 5.9528092368e+02 -1.8324778451e+02 -1.4390975033e+01 2212 -1.1046617241e+00 4.7588455169e-01
50349 1.3753182076e+02 -8.8955924242e+02 4.0026966568e+03 1.8362932319e+02 4.9364597965e+01 -3.6368939651e+02 2212 -2.2563767161e+00 4.8600260809e-01
50401 -1.2169977356e+02 -8.8270258007e+02 3.8868882546e+03 1.7585681226e+02 5.1552720752e+01 -3.9586153127e+02 2212 -3.4594857711e+00 2.1642936920e-01
50906 -1.6375039750e+02 -1.0620950596e+03 4.2419302789e+03 1.2879070479e+02 -2.7248697752e+01 -4.0029833860e+02 2212 -2.9710170948e+00 1.0245958952e-01
51049 8.8348283664e+01 -1.0526029042e+03 4.2267216037e+03 2.8036646820e+02 -9.3290471453e+01 -3.7255809671e+02 2212 -1.0801801523e+00 5.0586961375e-02
51899 1.1803781299e+02 -9.4608174547e+02 4.3901190414e+03 2.4667180434e+02 8.8329205606e+01 -3.5228115201e+02 2212 -4.7216768127e+00 3.8068141422e-01
52273 1.6163084059e+02 -1.1033072504e+03 4.5032433923e+03 5.3265818091e+02 3.5495177971e+01 -1.5354788348e+02 2212 -2.5969309867e+00 3.4355580278e-01
52741 -2.6092099064e+02 -1.1547496802e+03 4.5124886265e+03 5.4827719154e+02 -1.0470175070e+02 -1.2794418473e+02 2212 -2.5432068023e+00 2.8292861196e-01
52828 -2.8430820835e+02 -1.1574447490e+03 4.5798340956e+03 3.9457412485e+02 -1.3561781738e+01 -2.9966539909e+02 2212 -1.0894815200e+00 1.0037710179e-01
52901 2.0497769733e+02 -9.7263663465e+02 4.3661355475e+03 4.6886765713e+02 -8.3734024908e+01 -1.8112239571e+02 2212 -5.2018558590e+00 7.3821080864e-01
53580 -1.2638662350e+02 -9.3801974616e+02 4.4652389862e+03 5.7025377356e+02 1.8643188045e+02 -9.1414213624e+01 2212 -3.5567004124e+00 1.1155111131e+00
53607 1.2253950591e+02 -1.1704666793e+03 4.4694082763e+03 4.4154482443e+02 1.5813062780e+02 -8.7765942563e+01 2212 -3.5261926574e+00 1.0471940306e+00
53637 1.7136910511e+02 -1.1659490130e+03 4.6009537245e+03 1.6870001734e+02 -8.6572809523e+00 -1.5499260344e+02 2212 -2.0084764734e+00 1.2167054411e+01
53994 1.2404306252e+02 -1.0146585337e+03 4.5461122988e+03 2.5143109595e+02 -5.4718184464e+01 -3.8890140690e+02 2212 -4.8282099196e+00 7.6308606866e-02
54350 -9.0130324096e+01 -1.1261199754e+03 4.5753944376e+03 1.8383073910e+02 2.9883029151e+01 -4.5249652554e+02 2212 -4.0201584874e+00 4.7165711870e-03
54401 1.2666292238e+02 -1.0967589992e+03 4.2901708523e+03 1.5030489088e+02 -5.1916239506e+01 -4.3702721738e+02 2212 -1.2775406120e+00 5.4357731438e-03
54408 -6.5085306541e+01 -9.8400003550e+02 4.2945316217e+03 3.5808999006e+02 1.2586201715e+01 -3.7337278669e+02 2212 -3.0962103531e+00 6.1557493624e-02
