# EvtID pe_px[MeV/c] pe_py[MeV/c] pe_pz[MeV/c] prec_px[MeV/c] prec_py[MeV/c] prec_pz[MeV/c] pidrec zvtx[cm] weight
39312 1.6785012411e+02 1.1187568568e+03 3.7192227056e+03 4.2824824057e+01 7.6248429975e+00 -4.6906095999e+02 2212 -1.8562744868e+00 2.7543759470e-04
40113 -1.6720530651e+02 1.5933361438e+03 5.0313671124e+03 7.5930846896e+01 -5.7708691824e+00 -2.3299084136e+02 2212 -3.9244209155e+00 2.4007330450e-01
40641 2.0493801908e+01 1.3305675105e+03 4.0832490583e+03 5.8902090569e+02 9.4712716981e+01 -8.4673937039e+01 2212 -4.3762331498e+00 5.3933852639e-02
41016 7.7150648825e+01 1.5497579805e+03 5.2913752186e+03 2.0256541307e+02 4.1783520151e+01 -1.4487175328e+02 2212 -1.2094409107e+00 8.8300546957e-01
41135 -8.6571632624e+01 1.0492359538e+03 3.6676690034e+03 4.8850257797e+02 -2.9326932212e+01 -3.8072065832e+01 2212 -5.2908923589e+00 1.4573192780e+00
41215 -9.9465525480e+01 1.5073809834e+03 5.1869940250e+03 2.1306741854e+02 4.8848818824e+01 -1.6902289418e+02 2212 -3.4736886255e+00 5.7864381824e-01
41722 -1.6564308621e+02 1.2281263807e+03 4.0288495822e+03 2.1816365557e+02 -2.0571322948e+01 -3.9619635520e+02 2212 -4.5192291501e+00 7.6064633883e-03
42679 5.8763901301e+01 1.2744256642e+03 4.4300316174e+03 1.3718259816e+02 -1.3260410604e+01 -3.3173849005e+02 2212 -3.9925058472e+00 1.6591460977e-01
43033 1.0838813251e+02 1.6139106249e+03 5.0141643928e+03 2.5343138971e+02 3.2795849794e+01 -2.7386818042e+01 2212 -4.6289532569e+00 1.2002720250e+00
43212 1.7694875126e+01 1.5251424081e+03 4.7945012429e+03 3.5723140751e+02 -1.5842555007e+01 -4.4610393226e+01 2212 -2.9227998161e+00 4.7863740545e-01
44158 -9.0087653887e+01 1.4570191888e+03 5.1446035609e+03 3.0903739422e+02 -4.9528222417e+01 -2.0915665072e+01 2212 -2.0203966654e+00 2.0906610964e+00
44253 3.9870834843e+01 1.4223502565e+03 4.4397371512e+03 2.4041569644e+02 -2.9204085824e+01 -3.5856343883e+02 2212 -3.2571649919e+00 1.1394408029e-03
44354 -6.5929972896e+00 1.2229702353e+03 4.1620575957e+03 3.4257182740e+02 7.6564442438e+01 -3.4655420394e+02 2212 -3.3980122670e+00 1.1327167989e-02
45072 7.1175214563e+01 1.3576975220e+03 4.1672456385e+03 4.6295633122e+02 -1.4372054892e+02 -2.1194473133e+02 2212 -1.8021633856e+00 4.5811440012e-02
46157 9.0983988324e+01 1.6216776860e+03 4.9090995796e+03 4.8896845054e+02 -5.2422950867e+01 -9.3474662639e+01 2212 -1.0184572621e+00 3.0202692959e-02
46906 -5.1840879362e+01 1.3340900010e+03 4.4455585780e+03 1.2781681661e+02 2.5970167449e+01 -1.0204115818e+02 2212 -3.5384502886e+00 2.9089860278e+01
46910 -8.7391719197e+01 1.2048251555e+03 4.1699498391e+03 2.0643524521e+02 4.8135651759e+00 -3.9322904338e+02 2212 -3.4844223522e+00 1.6814248316e-02
46936 2.8718330993e+01 1.5019292039e+03 5.1503251027e+03 5.4599655236e+02 -1.4423210810e+02 -4.0197721261e+01 2212 -4.8834694766e+00 1.1318114517e-01
47273 -6.1815279589e+01 1.4206192247e+03 4.6858686425e+03 2.4510744433e+02 -2.0565551545e+01 -3.4126724555e+02 2212 -1.1158867769e+00 2.1058017577e-02
48055 6.6278650393e+01 1.0265103700e+03 3.5551470092e+03 2.1654442446e+02 -2.1551566479e+01 -1.0519840833e+02 2212 -5.0894246874e+00 1.6281237968e+01
49027 -1.0167958911e+02 1.3249969057e+03 4.1084530633e+03 2.6889523690e+02 -4.1312815221e+01 -2.8434959993e+02 2212 -2.0403098497e+00 8.4764816458e-02
49076 1.0553134288e+02 1.3222657849e+03 4.4152697331e+03 3.5071572830e+02 -2.9414820721e+01 -4.6341131463e+01 2212 -4.9131009781e+00 1.5335305764e+00
49275 -9.5275750373e+01 1.2569031151e+03 4.1805979173e+03 2.6090569705e+02 -2.5689167331e+00 -2.1872875933e+02 2212 -5.3612708540e+00 5.5883613166e-01
49792 -1.0920718634e+02 1.1571649738e+03 3.7149561855e+03 1.3512337828e+02 4.7593409733e+01 -1.1227337622e+02 2212 -4.4074114000e+00 3.0269072004e+01
50231 1.8139254339e+02 1.3531747193e+03 4.1822212723e+03 1.3024883297e+01 -1.4920982765e-01 -3.7085535468e+02 2212 -1.2513008034e+00 1.1431209827e-02
